Raw Data 		Experiment - JA_2020-12-14-pro-ter_pSRO9-n3 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	232533	59.94	0.51
A1	Sample 1	2	2	2	271667	59.84	0.50
A1	Sample 1	2	2	3	310683	59.82	0.51
A1	Sample 1	2	2	4	349633	59.84	0.50
A1	Sample 1	2	2	5	388633	59.83	0.52
A1	Sample 1	2	2	6	427667	59.82	0.51
A1	Sample 1	2	2	7	466633	59.82	0.51
A1	Sample 1	2	2	8	505667	59.84	0.52
A1	Sample 1	2	2	9	544767	59.84	0.52
A1	Sample 1	2	2	10	583850	59.85	0.52
A1	Sample 1	2	2	11	622967	59.85	0.54
A1	Sample 1	2	2	12	662033	59.85	0.54
A1	Sample 1	2	2	13	701167	59.85	0.54
A1	Sample 1	2	2	14	740283	59.84	0.56
A1	Sample 1	2	2	15	779250	59.84	0.58
A1	Sample 1	2	2	16	818233	59.83	0.63
A1	Sample 1	2	2	17	857217	59.84	0.73
A1	Sample 1	2	2	18	896150	59.84	0.92
A1	Sample 1	2	2	19	935150	59.84	1.26
A1	Sample 1	2	2	20	974150	59.84	1.87
A1	Sample 1	2	2	21	1013167	59.84	2.78
A1	Sample 1	2	2	22	1052150	59.84	3.74
A1	Sample 1	2	2	23	1091233	59.83	4.53
A1	Sample 1	2	2	24	1130317	59.84	5.22
A1	Sample 1	2	2	25	1169367	59.84	5.79
A1	Sample 1	2	2	26	1208350	59.84	6.21
A1	Sample 1	2	2	27	1247317	59.84	6.54
A1	Sample 1	2	2	28	1286433	59.84	6.77
A1	Sample 1	2	2	29	1325517	59.84	7.02
A1	Sample 1	2	2	30	1364617	59.84	7.17
A1	Sample 1	2	2	31	1403617	59.83	7.28
A1	Sample 1	2	2	32	1442750	59.84	7.43
A1	Sample 1	2	2	33	1481767	59.84	7.51
A1	Sample 1	2	2	34	1520850	59.84	7.62
A1	Sample 1	2	2	35	1560033	59.84	7.67
A1	Sample 1	2	2	36	1599050	59.84	7.75
A1	Sample 1	2	2	37	1638017	59.84	7.82
A1	Sample 1	2	2	38	1677150	59.84	7.90
A1	Sample 1	2	2	39	1716100	59.84	7.91
A1	Sample 1	2	2	40	1755233	59.84	7.97
A1	Sample 1	3	1	1	1767400	59.92	8.13
