sample_name,construct_name,rep,type
A1,pRPS3-mCherry-tRPS3_WT_b1,1,WT
B1,pRPS3-mCherry-tRPS3_WT_b2,2,WT
A2,pRPS3-mCherry-tRPS3_mod0_b1,1,mod_NNN
B2,pRPS3-mCherry-tRPS3_mod0_b2,2,mod_NNN
A3,pRPS3-mCherry-tRPS3_modB_b1,1,mod_NAA
B3,pRPS3-mCherry-tRPS3_modB_b2,2,mod_NAA
A4,pRPS3-mCherry-tRPS3_modE_b1,1,mod_HTH
B4,pRPS3-mCherry-tRPS3_modE_b2,2,mod_HTH
A5,pTSA1-mCherry-tTSA1_WT_b1,1,WT
B5,pTSA1-mCherry-tTSA1_WT_b2,2,WT
A6,pTSA1-mCherry-tTSA1_mod0_b1,1,mod_NNN
B6,pTSA1-mCherry-tTSA1_mod0_b2,2,mod_NNN
A7,pTSA1-mCherry-tTSA1_modB_b1,1,mod_NAA
B7,pTSA1-mCherry-tTSA1_modB_b2,2,mod_NAA
A8,pTSA1-mCherry-tTSA1_modE_b1,1,mod_HTH
B8,pTSA1-mCherry-tTSA1_modE_b2,2,mod_HTH
A9,POT1-ccdB_b1,1,Control
B9,POT1-ccdB_b2,2,Control
A10,pRPS3-mCherry-tRPS3_modA_b1,1,mod_NTN
B10,pRPS3-mCherry-tRPS3_modA_b2,2,mod_NTN
A11,pTSA1-mCherry-tTSA1_modA_b1,1,mod_NTN
B11,pTSA1-mCherry-tTSA1_modA_b2,2,mod_NTN
A12,pPGK1-mCherry-tRPS3_WT_b1,1,WT
B12,pPGK1-mCherry-tRPS3_WT_b2,2,WT
A13,pPGK1-mCherry-tRPS3_mod0_b1,1,mod_NNN
B13,pPGK1-mCherry-tRPS3_mod0_b2,2,mod_NNN
A14,pPGK1-mCherry-tRPS3_modA_b1,1,mod_NTN
B14,pPGK1-mCherry-tRPS3_modA_b2,2,mod_NTN
A15,pPGK1-mCherry-tRPS3_modB_b1,1,mod_NAA
B15,pPGK1-mCherry-tRPS3_modB_b2,2,mod_NAA
A16,pPGK1-mCherry-tRPS3_modE_b1,1,mod_HTH
B16,pPGK1-mCherry-tRPS3_modE_b2,2,mod_HTH
E1,pRPS3-mCherry-tRPS3_mod0_b1,3,mod_NNN
E2,pRPS3-mCherry-tRPS3_mod0_b2,4,mod_NNN
