Terminator,Construct,Minimum free energy (kcal/mol)
RPS3,WT,-6.10
RPS3,mod_NNN,-11.50
RPS3,mod_NTN,-13.00
RPS3,mod_NAA,-7.40
RPS3,mod_NGG,-10.80
RPS3,mod_HNH,-5.50
RPS3,mod_HTH,-7.40
TSA1,WT,-6.90
TSA1,mod_NNN,-10.14
TSA1,mod_NTN,-10.60
TSA1,mod_NAA,-8.90
TSA1,mod_NGG,-9.80
TSA1,mod_HNH,-6.10
TSA1,mod_HTH,-6.67
PIR1,WT,-28.00
PIR1,mod_ANHHH,-30.60
PIR1,mod_NTHHH,-27.70
PIR1,mod_ATNHH,-28.40
PIR1,mod_ATHNH,-27.00
PIR1,mod_ATNNN,-30.40
PIR1,mod_ANNNN,-32.60
PIR1,mod_NTNNN,-30.10
