# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "1" "-t" "primary_transcript" "-g" "ID" "-a" "14dt_sample_longest_full_ORF_with_constructs.gff" "-o" "14dt_counts.txt" "14dt_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	14dt_aln.bam
pRPS3-mCherry-tRPS3_modD_primary_transcript	pRPS3-mCherry-tRPS3_modD	2099	3538	+	1440	0
pRPS3-mCherry-tRPS3_modD_URA3	pRPS3-mCherry-tRPS3_modD	4376	5400	-	1025	1
YAL001C_tx0	chrI	147469	151191	-	3723	0
YAL002W_tx0	chrI	143682	147656	+	3975	0
YAL003W_id003	chrI	142141	143496	+	1356	0
YAL004W_id001	chrI	137649	142140	+	4492	0
YAL005C_id002	chrI	139381	141684	-	2304	1
YAL007C_id002	chrI	137408	138414	-	1007	0
YAL008W_id005	chrI	136815	137718	+	904	0
YAL009W_id001	chrI	135408	136766	+	1359	0
YAL010C_id001	chrI	134001	135688	-	1688	0
YAL011W_id001	chrI	132169	134210	+	2042	0
YAL012W_id002	chrI	130686	132100	+	1415	0
YAL013W_id001	chrI	129194	130583	+	1390	0
YAL014C_id001	chrI	128031	129072	-	1042	0
YAL015C_id001	chrI	126756	128110	-	1355	0
YAL016W_id001	chrI	124786	126883	+	2098	0
YAL017W_tx0	chrI	120200	124420	+	4221	0
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	0
YAL020C_id001	chrI	113468	114624	-	1157	0
YAL021C_id002	chrI	110536	113403	-	2868	0
YAL022C_id001	chrI	108732	110471	-	1740	0
YAL023C_id006	chrI	106143	108671	-	2529	0
YAL024C_tx0	chrI	101440	105897	-	4458	0
YAL025C_id001	chrI	99939	101168	-	1230	0
YAL026C_tx0	chrI	95505	99722	-	4218	0
YAL027W_id001	chrI	94595	95583	+	989	0
YAL028W_id005	chrI	92852	94566	+	1715	0
YAL029C_tx0	chrI	87730	92295	-	4566	0
YAL030W_id002	chrI	87264	88013	+	750	0
YAL031C_id003	chrI	84587	87031	-	2445	0
YAL032C_id008	chrI	83192	84504	-	1313	0
YAL033W_id003	chrI	82701	83397	+	697	0
YAL034C_id002	chrI	80549	82586	-	2038	0
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	0
YAL035W_id001	chrI	76365	79559	+	3195	2
YAL036C_id004	chrI	74778	76207	-	1430	0
YAL037W_id001	chrI	73453	76400	+	2948	0
YAL038W_id004	chrI	71644	73448	+	1805	1
YAL039C_id002	chrI	68629	69642	-	1014	0
YAL040C_id003	chrI	65596	67848	-	2253	0
YAL041W_id003	chrI	62773	65463	+	2691	0
YAL042W_id001	chrI	61269	62680	+	1412	0
YAL043C_id001	chrI	58499	61068	-	2570	0
YAL044C_id002	chrI	57756	58476	-	721	0
YAL044W-A_id004	chrI	56973	57958	+	986	0
YAL046C_id001	chrI	56907	57544	-	638	0
YAL047C_id001	chrI	54931	56886	-	1956	0
YAL047W-A_id001	chrI	54209	55063	+	855	0
YAL048C_tx0	chrI	52676	54814	-	2139	0
YAL049C_id001	chrI	51691	54082	-	2392	0
YAL051W_tx0	chrI	48539	51832	+	3294	0
YAL053W_id003	chrI	45728	48310	+	2583	0
YAL054C_tx0	chrI	42756	45047	-	2292	0
YAL055W_id003	chrI	42142	42838	+	697	0
YAL056W_id006	chrI	39234	42040	+	2807	0
YAL058W_id001	chrI	37405	39163	+	1759	0
YAL059W_id002	chrI	36466	37344	+	879	0
YAL060W_id014	chrI	35107	36433	+	1327	0
YAL061W_id003	chrI	33345	35018	+	1674	1
YAL062W_id001	chrI	31527	33039	+	1513	1
YAL063C_tx0	chrI	23875	27993	-	4119	0
YAL063C-A_id001	chrI	22051	23617	-	1567	0
YAL064W_tx0	chrI	21541	21975	+	435	0
YAL066W_id001	chrI	9807	10460	+	654	0
YAL067C_tx0	chrI	7110	9041	-	1932	0
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	0
YAR002W_id001	chrI	152215	154114	+	1900	0
YAR003W_id001	chrI	154958	156909	+	1952	0
YAR007C_id002	chrI	156681	158698	-	2018	0
YAR008W_id002	chrI	158847	159916	+	1070	0
YAR014C_id002	chrI	166565	169019	-	2455	0
YAR015W_id003	chrI	169272	170638	+	1367	1
YAR018C_id002	chrI	170177	171715	-	1539	0
YAR019C_tx0	chrI	172086	175160	-	3075	0
