Gene	Position_from_stop_codon	pRPS3-mCherry-tTOS6_b1	pRPS3-mCherry-tTOS6_b2	pRPS3-mCherry-tHSP26_b1	pRPS3-mCherry-tHSP26_b2	pRPS13-mCherry-tHSP26_b1	pRPS13-mCherry-tHSP26_b2	pHSP26-mCherry-tHSP26_b1	pHSP26-mCherry-tHSP26_b2	pRPS3-mCherry-tHSP26_b3	pRPS3-mCherry-tHSP26_b4	pRPS3-mCherry-tPMA1-long_b1	pRPS3-mCherry-tPMA1-long_b2
HSP26	1	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	2	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	3	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	4	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	5	0	0	0	0	0	0	0	1	0	0	0	0
HSP26	6	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	7	2	0	0	0	0	0	0	0	0	0	0	0
HSP26	8	0	0	0	0	0	0	0	1	0	0	1	0
HSP26	9	0	0	0	0	0	0	0	2	0	0	0	0
HSP26	10	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	11	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	12	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	13	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	14	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	15	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	16	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	17	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	18	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	19	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	20	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	21	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	22	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	23	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	24	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	25	0	0	0	1	2	0	0	0	0	0	0	0
HSP26	26	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	27	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	28	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	29	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	30	0	2	0	0	0	0	0	0	0	0	0	0
HSP26	31	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	32	0	0	1	0	0	0	0	0	0	0	2	0
HSP26	33	0	0	0	0	0	0	0	0	0	0	1	0
HSP26	34	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	35	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	36	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	37	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	38	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	39	0	0	0	0	0	0	0	1	0	0	0	0
HSP26	40	0	0	0	0	0	0	0	0	0	0	1	0
HSP26	41	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	42	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	43	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	44	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	45	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	46	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	47	0	0	0	0	0	0	0	1	0	0	0	0
HSP26	48	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	49	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	50	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	51	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	52	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	53	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	54	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	55	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	56	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	57	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	58	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	59	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	60	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	61	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	62	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	63	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	64	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	65	0	0	0	1	0	0	0	0	0	0	0	0
HSP26	66	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	67	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	68	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	69	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	70	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	71	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	72	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	73	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	74	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	75	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	76	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	77	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	78	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	79	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	80	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	81	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	82	0	0	0	0	0	0	0	1	0	0	1	0
HSP26	83	0	0	0	0	0	0	0	0	0	0	2	0
HSP26	84	0	0	0	0	0	0	0	0	0	0	1	0
HSP26	85	1	0	0	0	0	0	0	0	0	0	0	0
HSP26	86	0	0	0	0	0	0	2	0	0	0	0	0
HSP26	87	0	0	0	0	0	0	0	0	3	0	0	0
HSP26	88	0	0	0	1	0	0	0	1	0	0	0	0
HSP26	89	0	0	1	0	0	0	0	0	0	2	0	0
HSP26	90	0	0	1	0	0	0	0	1	0	0	0	0
HSP26	91	0	0	0	0	0	0	0	0	2	1	0	0
HSP26	92	0	1	0	0	0	0	0	0	0	1	2	1
HSP26	93	0	0	0	0	0	0	0	0	0	0	1	0
HSP26	94	0	0	1	1	1	0	0	0	0	0	0	0
HSP26	95	0	1	0	0	0	0	1	1	1	0	0	0
HSP26	96	0	0	0	0	0	0	0	1	0	1	0	0
HSP26	97	0	1	0	0	0	0	0	0	0	0	0	0
HSP26	98	0	0	0	0	0	0	0	1	0	0	0	0
HSP26	99	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	100	1	1	0	0	0	2	0	0	0	0	0	0
HSP26	101	0	0	0	0	0	0	0	1	2	0	0	0
HSP26	102	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	103	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	104	0	0	0	0	2	0	0	0	0	0	0	0
HSP26	105	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	106	0	0	0	0	0	0	0	0	0	0	1	0
HSP26	107	0	0	0	0	0	0	0	2	0	0	0	0
HSP26	108	0	0	0	0	0	0	0	0	0	0	2	0
HSP26	109	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	110	0	2	0	0	0	0	0	1	0	0	0	0
HSP26	111	0	0	0	0	0	0	0	0	1	1	3	0
HSP26	112	0	0	0	0	0	0	1	0	0	0	0	0
HSP26	113	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	114	0	0	0	0	0	0	0	1	0	0	0	0
HSP26	115	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	116	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	117	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	118	0	0	0	0	0	1	0	1	0	0	0	0
HSP26	119	0	0	0	0	0	1	0	0	0	0	0	0
HSP26	120	0	0	0	0	0	0	0	0	0	1	0	0
HSP26	121	0	0	0	0	0	0	0	0	0	0	0	0
HSP26	122	0	0	0	0	2	0	0	0	0	0	0	0
HSP26	123	0	1	0	0	1	0	1	0	0	0	0	0
HSP26	124	0	0	0	0	0	0	0	1	0	1	0	1
HSP26	125	0	0	0	1	0	1	0	0	0	1	0	0
HSP26	126	0	0	1	0	0	1	1	0	0	1	0	0
HSP26	127	1	0	0	2	1	0	0	2	1	0	0	0
HSP26	128	0	0	0	0	1	0	1	0	0	0	0	0
HSP26	129	1	1	0	0	0	1	1	1	0	3	0	0
HSP26	130	0	1	1	1	1	1	2	0	0	1	1	0
HSP26	131	0	0	0	0	0	2	1	1	0	3	0	0
HSP26	132	0	0	0	0	0	0	1	1	1	4	0	0
HSP26	133	0	0	0	1	1	2	0	0	0	2	0	0
HSP26	134	0	0	1	0	0	0	0	0	0	0	0	0
HSP26	135	0	0	1	0	0	0	0	0	0	0	0	0
HSP26	136	0	0	0	0	0	0	0	1	0	1	0	0
HSP26	137	0	0	0	0	0	1	0	0	0	0	0	0
HSP26	138	0	0	0	0	1	1	1	0	0	1	0	0
HSP26	139	0	0	0	0	1	0	0	1	0	0	0	0
HSP26	140	1	0	0	0	1	1	0	0	0	0	0	0
HSP26	141	0	0	4	1	7	1	0	0	0	1	0	0
HSP26	142	1	0	5	7	16	17	0	0	3	3	0	0
HSP26	143	3	2	104	123	195	152	13	8	107	96	9	2
HSP26	144	0	0	6	4	14	17	0	0	6	6	1	0
HSP26	145	0	0	0	5	12	5	0	0	3	2	0	0
HSP26	146	0	0	1	0	2	3	0	0	2	3	0	0
HSP26	147	0	0	0	0	1	0	0	0	1	0	0	0
HSP26	148	0	0	2	1	4	2	0	0	0	0	0	0
HSP26	149	0	1	0	1	2	2	0	3	0	1	0	0
HSP26	150	0	0	1	3	3	5	0	1	1	2	0	0
HSP26	151	2	1	11	15	28	18	1	0	9	6	0	0
HSP26	152	4	4	163	193	344	268	8	11	160	139	1	8
HSP26	153	1	0	19	23	49	55	7	7	38	23	1	1
HSP26	154	1	0	5	10	15	12	0	2	3	4	0	1
HSP26	155	0	0	5	4	3	5	2	8	12	3	0	0
HSP26	156	0	0	3	3	2	4	1	3	3	4	0	0
HSP26	157	0	1	7	15	27	24	9	11	23	25	1	0
HSP26	158	0	3	57	64	113	84	9	9	67	62	1	5
HSP26	159	0	1	25	28	62	52	5	11	24	25	3	3
HSP26	160	1	0	31	49	81	82	11	11	24	27	1	0
HSP26	161	4	10	340	444	821	691	28	26	320	336	10	13
HSP26	162	61	39	2322	3124	5762	4908	196	150	2788	2362	66	70
HSP26	163	58	63	2787	3484	6150	5340	156	142	3151	2723	86	53
HSP26	164	13	22	1202	1591	2690	2468	67	65	1113	977	30	14
HSP26	165	142	175	9760	11853	21695	18018	423	416	10629	8949	150	204
HSP26	166	10	9	565	748	1241	1090	19	32	616	623	13	6
HSP26	167	11	7	695	872	1606	1373	33	25	843	643	9	15
HSP26	168	3	0	90	124	234	158	4	4	100	119	0	1
HSP26	169	0	3	109	156	243	250	6	8	122	82	1	0
HSP26	170	9	15	900	954	1910	1553	35	26	933	774	17	14
HSP26	171	1	0	33	50	93	75	3	5	45	55	2	3
HSP26	172	0	0	17	21	35	36	1	0	28	17	0	0
HSP26	173	0	5	14	19	17	11	6	11	7	9	0	0
HSP26	174	0	2	9	10	18	13	13	16	21	9	1	2
HSP26	175	0	0	14	19	20	29	12	9	9	17	0	0
HSP26	176	2	2	75	89	140	114	4	12	82	66	0	2
HSP26	177	0	0	9	15	22	16	8	6	13	14	0	0
HSP26	178	0	2	1	9	6	13	2	9	6	14	0	0
HSP26	179	0	0	2	4	6	7	2	3	10	1	1	0
HSP26	180	0	0	17	12	13	15	2	6	9	4	0	0
HSP26	181	0	2	53	55	84	89	2	4	38	30	0	0
HSP26	182	0	0	22	21	43	50	0	6	17	9	1	0
HSP26	183	2	3	99	138	239	186	4	6	120	109	2	0
HSP26	184	1	0	20	28	38	28	4	5	18	21	0	0
HSP26	185	0	2	14	8	19	14	5	3	12	10	0	0
HSP26	186	0	0	25	36	68	44	4	2	28	25	1	0
HSP26	187	0	0	2	4	2	5	2	3	0	3	0	2
HSP26	188	0	0	5	4	2	6	2	0	2	0	0	0
HSP26	189	0	0	3	15	6	18	4	0	6	6	0	0
HSP26	190	0	0	3	3	11	8	2	3	3	3	0	0
HSP26	191	0	1	6	4	8	9	2	4	4	3	0	0
HSP26	192	0	0	1	4	2	7	1	1	4	5	0	0
HSP26	193	0	0	9	6	27	23	2	1	6	11	0	0
HSP26	194	0	0	4	5	3	4	2	0	3	1	0	0
HSP26	195	0	0	3	4	2	3	2	1	4	1	0	0
HSP26	196	0	0	6	12	14	17	3	4	12	11	0	0
HSP26	197	0	0	9	6	12	11	2	3	6	9	0	0
