# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "WD_C16_sample_longest_full_ORF_with_constructs.gff" "-o" "WD_C16_counts.txt" "WD_C16_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	WD_C16_aln.bam
pRPS3-mCherry-tHSP26_primary_transcript	pRPS3-mCherry-tHSP26	2099	3511	+	1413	10957
pRPS3-mCherry-tHSP26_URA3	pRPS3-mCherry-tHSP26	4349	5373	-	1025	10803
YAL001C_tx0	chrI	147469	151191	-	3723	205
YAL002W_tx0	chrI	143682	147656	+	3975	134
YAL003W_id003	chrI	142141	143496	+	1356	11171
YAL004W_id001	chrI	137649	142140	+	4492	28
YAL005C_id002	chrI	139381	141684	-	2304	7886
YAL007C_id002	chrI	137408	138414	-	1007	365
YAL008W_id005	chrI	136815	137718	+	904	241
YAL009W_id001	chrI	135408	136766	+	1359	100
YAL010C_id001	chrI	134001	135688	-	1688	64
YAL011W_id001	chrI	132169	134210	+	2042	208
YAL012W_id002	chrI	130686	132100	+	1415	1734
YAL013W_id001	chrI	129194	130583	+	1390	105
YAL014C_id001	chrI	128031	129072	-	1042	464
YAL015C_id001	chrI	126756	128110	-	1355	152
YAL016W_id001	chrI	124786	126883	+	2098	272
YAL017W_tx0	chrI	120200	124420	+	4221	571
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	245
YAL020C_id001	chrI	113468	114624	-	1157	249
YAL021C_id002	chrI	110536	113403	-	2868	635
YAL022C_id001	chrI	108732	110471	-	1740	743
YAL023C_id006	chrI	106143	108671	-	2529	1406
YAL024C_tx0	chrI	101440	105897	-	4458	61
YAL025C_id001	chrI	99939	101168	-	1230	804
YAL026C_tx0	chrI	95505	99722	-	4218	214
YAL027W_id001	chrI	94595	95583	+	989	65
YAL028W_id005	chrI	92852	94566	+	1715	38
YAL029C_tx0	chrI	87730	92295	-	4566	210
YAL030W_id002	chrI	87264	88013	+	750	708
YAL031C_id003	chrI	84587	87031	-	2445	111
YAL032C_id008	chrI	83192	84504	-	1313	77
YAL033W_id003	chrI	82701	83397	+	697	223
YAL034C_id002	chrI	80549	82586	-	2038	369
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	85
YAL035W_id001	chrI	76365	79559	+	3195	3455
YAL036C_id004	chrI	74778	76207	-	1430	543
YAL037W_id001	chrI	73453	76400	+	2948	41
YAL038W_id004	chrI	71644	73448	+	1805	39856
YAL039C_id002	chrI	68629	69642	-	1014	174
YAL040C_id003	chrI	65596	67848	-	2253	352
YAL041W_id003	chrI	62773	65463	+	2691	542
YAL042W_id001	chrI	61269	62680	+	1412	2655
YAL043C_id001	chrI	58499	61068	-	2570	197
YAL044C_id002	chrI	57756	58476	-	721	3288
YAL044W-A_id004	chrI	56973	57958	+	986	361
YAL046C_id001	chrI	56907	57544	-	638	798
YAL047C_id001	chrI	54931	56886	-	1956	40
YAL047W-A_id001	chrI	54209	55063	+	855	2
YAL048C_tx0	chrI	52676	54814	-	2139	0
YAL049C_id001	chrI	51691	54082	-	2392	631
YAL051W_tx0	chrI	48539	51832	+	3294	87
YAL053W_id003	chrI	45728	48310	+	2583	520
YAL054C_tx0	chrI	42756	45047	-	2292	169
YAL055W_id003	chrI	42142	42838	+	697	217
YAL056W_id006	chrI	39234	42040	+	2807	565
YAL058W_id001	chrI	37405	39163	+	1759	176
YAL059W_id002	chrI	36466	37344	+	879	603
YAL060W_id014	chrI	35107	36433	+	1327	714
YAL061W_id003	chrI	33345	35018	+	1674	38
YAL062W_id001	chrI	31527	33039	+	1513	93
YAL063C_tx0	chrI	23875	27993	-	4119	26
YAL063C-A_id001	chrI	22051	23617	-	1567	15
YAL064W_tx0	chrI	21541	21975	+	435	4
YAL066W_id001	chrI	9807	10460	+	654	52
YAL067C_tx0	chrI	7110	9041	-	1932	7
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	1360
YAR002W_id001	chrI	152215	154114	+	1900	590
YAR003W_id001	chrI	154958	156909	+	1952	134
