# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "B2_sample_longest_full_ORF_with_constructs.gff" "-o" "B2_counts.txt" "B2_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	B2_aln.bam
pRPS3-mCherry-tRPS3_mod0_primary_transcript	pRPS3-mCherry-tRPS3_mod0	2099	3538	+	1440	6391
pRPS3-mCherry-tRPS3_mod0_URA3	pRPS3-mCherry-tRPS3_mod0	4376	5400	-	1025	7103
YAL001C_tx0	chrI	147469	151191	-	3723	110
YAL002W_tx0	chrI	143682	147656	+	3975	22
YAL003W_id003	chrI	142141	143496	+	1356	2100
YAL004W_id001	chrI	137649	142140	+	4492	3
YAL005C_id002	chrI	139381	141684	-	2304	2510
YAL007C_id002	chrI	137408	138414	-	1007	134
YAL008W_id005	chrI	136815	137718	+	904	65
YAL009W_id001	chrI	135408	136766	+	1359	42
YAL010C_id001	chrI	134001	135688	-	1688	11
YAL011W_id001	chrI	132169	134210	+	2042	73
YAL012W_id002	chrI	130686	132100	+	1415	936
YAL013W_id001	chrI	129194	130583	+	1390	56
YAL014C_id001	chrI	128031	129072	-	1042	50
YAL015C_id001	chrI	126756	128110	-	1355	36
YAL016W_id001	chrI	124786	126883	+	2098	147
YAL017W_tx0	chrI	120200	124420	+	4221	129
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	68
YAL020C_id001	chrI	113468	114624	-	1157	37
YAL021C_id002	chrI	110536	113403	-	2868	41
YAL022C_id001	chrI	108732	110471	-	1740	88
YAL023C_id006	chrI	106143	108671	-	2529	243
YAL024C_tx0	chrI	101440	105897	-	4458	8
YAL025C_id001	chrI	99939	101168	-	1230	108
YAL026C_tx0	chrI	95505	99722	-	4218	78
YAL027W_id001	chrI	94595	95583	+	989	23
YAL028W_id005	chrI	92852	94566	+	1715	19
YAL029C_tx0	chrI	87730	92295	-	4566	85
YAL030W_id002	chrI	87264	88013	+	750	157
YAL031C_id003	chrI	84587	87031	-	2445	51
YAL032C_id008	chrI	83192	84504	-	1313	26
YAL033W_id003	chrI	82701	83397	+	697	36
YAL034C_id002	chrI	80549	82586	-	2038	96
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	12
YAL035W_id001	chrI	76365	79559	+	3195	1390
