# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "E1_sample_longest_full_ORF_with_constructs.gff" "-o" "E1_counts.txt" "E1_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	E1_aln.bam
pRPS3-mCherry-tRPS3_mod0_primary_transcript	pRPS3-mCherry-tRPS3_mod0	2099	3538	+	1440	2783
pRPS3-mCherry-tRPS3_mod0_URA3	pRPS3-mCherry-tRPS3_mod0	4376	5400	-	1025	2931
YAL001C_tx0	chrI	147469	151191	-	3723	87
YAL002W_tx0	chrI	143682	147656	+	3975	18
YAL003W_id003	chrI	142141	143496	+	1356	1707
YAL004W_id001	chrI	137649	142140	+	4492	5
YAL005C_id002	chrI	139381	141684	-	2304	1234
YAL007C_id002	chrI	137408	138414	-	1007	133
YAL008W_id005	chrI	136815	137718	+	904	47
YAL009W_id001	chrI	135408	136766	+	1359	21
YAL010C_id001	chrI	134001	135688	-	1688	9
YAL011W_id001	chrI	132169	134210	+	2042	33
YAL012W_id002	chrI	130686	132100	+	1415	696
YAL013W_id001	chrI	129194	130583	+	1390	36
YAL014C_id001	chrI	128031	129072	-	1042	35
YAL015C_id001	chrI	126756	128110	-	1355	17
YAL016W_id001	chrI	124786	126883	+	2098	83
YAL017W_tx0	chrI	120200	124420	+	4221	95
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	49
YAL020C_id001	chrI	113468	114624	-	1157	32
YAL021C_id002	chrI	110536	113403	-	2868	46
YAL022C_id001	chrI	108732	110471	-	1740	64
YAL023C_id006	chrI	106143	108671	-	2529	139
YAL024C_tx0	chrI	101440	105897	-	4458	13
YAL025C_id001	chrI	99939	101168	-	1230	67
YAL026C_tx0	chrI	95505	99722	-	4218	40
YAL027W_id001	chrI	94595	95583	+	989	15
YAL028W_id005	chrI	92852	94566	+	1715	13
YAL029C_tx0	chrI	87730	92295	-	4566	68
YAL030W_id002	chrI	87264	88013	+	750	124
YAL031C_id003	chrI	84587	87031	-	2445	39
YAL032C_id008	chrI	83192	84504	-	1313	11
YAL033W_id003	chrI	82701	83397	+	697	25
YAL034C_id002	chrI	80549	82586	-	2038	49
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	13
YAL035W_id001	chrI	76365	79559	+	3195	1025
YAL036C_id004	chrI	74778	76207	-	1430	200
